PartitionKey,RowKey,Timestamp,Id,Id@type,Area,Area@type,AgeGroup,AgeGroup@type,Gender,Gender@type,Income,Income@type,Status,Status@type,FullName,FullName@type,DateOfBirth,DateOfBirth@type,Region,Region@type,IsEarning,IsEarning@type,HeadOfFamily,HeadOfFamily@type,Race,Race@type,FamilyIncome,FamilyIncome@type,Age,Age@type
India,181577bd-c70f-4b11-90b1-69fb274b3c8c,2021-11-22T23:32:08.764Z,1,Edm.Int32,Caribbean Sea,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,1a300870-fd14-483b-8ad9-dea4b5c726a7,2021-11-23T04:49:39.829Z,3,Edm.Int32,Cibitoke,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,1a7a2ef9-24c0-4541-8f6a-e202f66bf51e,2021-11-22T03:50:09.594Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,1b4ef5af-3262-4fd4-9c8e-59a769039563,2021-11-22T17:19:20.349Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,1c4b256f-d923-4df3-9aa2-b9d7bdd8d485,2021-11-22T13:34:01.592Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,1eab1822-c26d-4c36-af88-026975eef181,2021-11-22T13:25:25.617Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,1ec5c7a7-dcd6-44db-8694-b8c3d02f4734,2021-11-22T09:54:50.511Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,1f99b82e-8a2a-41c8-beea-47afd40f8d9f,2021-11-22T12:30:39.428Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,20b1279b-5af7-472d-ba08-3528868aa41d,2021-11-22T09:13:47.808Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,2118a5ae-3a5f-42fb-a615-52c0f7dbba75,2021-11-22T12:02:35.161Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,22388239-9f07-4092-a633-6169e6806eff,2021-11-22T11:58:44.522Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,22a8ccb7-8ba5-49e0-83af-ad5e1d9773a7,2021-11-22T12:02:35.135Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,22cad4c9-f859-43d6-a933-e75669fcaf3d,2021-11-22T13:00:29.009Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,231d921f-2e51-45cc-934a-215d81ebb246,2021-11-22T17:19:43.931Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,233-43-231-0945,2021-11-22T00:32:54.086Z,,,,,,,Male,Edm.String,,,,,Deepak Chauhan,Edm.String,10-01-1954,Edm.String,Asia Pacific,Edm.String,Yes,Edm.String,Yes,Edm.String,Native,Edm.String,4091.88,Edm.String,67,Edm.Int32
India,2384f8d3-6ab1-4902-ac48-1221d4a69fd6,2021-11-22T13:04:07.328Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,28a794e9-bb76-4520-9e9f-b1019176d101,2021-11-22T13:08:01.036Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,29293369-86eb-4dd1-a0a2-c48aee9c1386,2021-11-22T12:49:05.579Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,29f48b1c-f203-4007-8904-41c95b7229b1,2021-11-22T17:15:16.882Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,2a17e5ec-5eb9-4b98-91e9-6c43f50db294,2021-11-23T09:31:15.608Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,2a5409b2-db7d-4d40-b4bb-7744b65e1890,2021-11-22T10:56:30.901Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,2cadb902-85af-4d4d-bc42-c7ffdbe28b27,2021-11-22T13:00:14.716Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,2db64cd3-c312-4d8a-90a5-867b939c48aa,2021-11-22T09:54:45.538Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,2dfe9154-e288-45b4-968a-ace574a0e4e2,2021-11-22T13:31:16.851Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,2e209826-9a6b-48f2-a584-746908d4b52f,2021-11-22T11:54:15.461Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,2eab2e58-261a-40c3-8dff-3979e4bd8f96,2021-11-22T17:15:16.799Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,309c13bf-e10a-4a0d-b190-fae5c4736229,2021-11-23T09:14:42.831Z,1,Edm.Int32,Seoul,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,31ab1a7a-dfd6-4b49-9d7f-a27121d47d96,2021-11-23T05:28:51.444Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,324f27c2-3e56-49dc-bb91-b848a2ba8a42,2021-11-22T10:09:07.182Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,326215d0-ddba-43f4-a0ed-9316b2858184,2021-11-22T12:23:00.435Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,3361b135-1e1d-4a3c-bfc3-9e3a8c648c77,2021-11-22T13:00:14.685Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,33a34db7-3d0b-4a1a-b477-32e445e1a4a4,2021-11-22T13:05:23.541Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,347558de-96a6-420d-a4f3-70bbd2d1a9ca,2021-11-22T13:07:15.032Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,36702eec-f184-4077-9262-f16a191c5665,2021-11-23T11:01:07.498Z,1,Edm.Int32,Maharashtra,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,36ed203b-941f-4aec-a229-0512f590d436,2021-11-22T17:19:20.309Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,378131e1-3fb3-4a51-8f15-85f81eee5cd9,2021-11-22T10:09:07.151Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,378d3542-60c4-4df4-9c1d-c6b3ecaed68d,2021-11-23T06:54:50.872Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,37a73fa1-d4ff-40fc-bb84-6ecf9906c1a1,2021-11-22T03:55:36.269Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,397-78-800-0212,2021-11-22T00:32:54.120Z,,,,,,,Female,Edm.String,,,,,Kavita Tyagi,Edm.String,3/13/1949,Edm.String,Asia Pacific,Edm.String,Yes,Edm.String,Yes,Edm.String,Indian,Edm.String,1678.51,Edm.String,72,Edm.Int32
India,39752342-8a3d-49ea-948b-26c06bec4126,2021-11-23T11:01:07.556Z,2,Edm.Int32,Maharashtra,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,3a52c223-d4e0-4581-a745-d418b466ca84,2021-11-23T09:13:51.831Z,3,Edm.Int32,Seoul,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,3ab7c40d-ecd8-43e3-8c2d-4d7a0c403a90,2021-11-22T10:23:42.283Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,3bd76636-4ef2-497a-9e91-38176b1a8108,2021-11-22T13:04:07.357Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,3be53bbe-695f-436f-a217-299a0d51e042,2021-11-22T02:21:32.017Z,3,Edm.Int32,,,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,3c1fccc1-409a-45cb-96a2-0a7d7530110c,2021-11-22T10:56:13.739Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,3c363739-ffc4-4080-b8da-0e836f969b88,2021-11-22T10:34:17.453Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,3c73032c-df27-45d2-b11e-0740502c51b6,2021-11-22T13:25:25.646Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,3c8b62f0-e8f1-4453-a9be-42eab009352e,2021-11-23T09:31:15.637Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,3cd72d3c-afb5-4e5c-83d1-a42dda1e62f3,2021-11-22T12:02:44.596Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,3cf7b310-0771-4276-a884-097cf88193a0,2021-11-22T02:29:46.182Z,1,Edm.Int32,,,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,3d67aed6-d91b-40c3-a30c-2d49b5308caa,2021-11-22T02:29:46.236Z,2,Edm.Int32,,,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,3dc5bd46-aca1-4cdb-a222-9fdaec0ac520,2021-11-22T10:23:42.219Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,3e011aae-f122-4579-98e7-2e794ae3ea0c,2021-11-22T17:19:43.851Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,4064620b-4f78-40c2-aae3-18ec73b8dbee,2021-11-22T10:21:47.509Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,407413fd-a957-4390-88ab-f96f78c5a374,2021-11-23T04:18:10.922Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,408c9b9b-70ac-4805-a7be-0ad70ef07a2e,2021-11-22T13:00:28.982Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,40930ff3-89f1-4a63-8c80-ffefc5aa04b1,2021-11-22T11:58:44.494Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,42f9be6c-3a6f-487e-86bd-820bfa72b3f9,2021-11-22T10:56:30.871Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,44390020-aa05-49cd-9023-3f819fcc6e71,2021-11-22T09:54:50.547Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,447ae914-0343-46f7-82a2-c8cf66f8bd1f,2021-11-22T03:44:56.206Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,44b2c050-30e0-4bfa-808d-c7db1fe61712,2021-11-22T10:25:04.791Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,4765c43d-47fe-4015-b007-0c51d43b6db4,2021-11-22T10:56:13.792Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,47c6b784-26d2-4916-934d-f41c2a5f9e45,2021-11-22T09:54:50.196Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,484e7337-84c7-4081-8934-631cac9e9db8,2021-11-22T12:33:35.231Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,496b0a93-648b-4301-ac3c-3f05643c20a7,2021-11-23T03:33:49.026Z,2,Edm.Int32,undefined,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,4a4718e0-65d9-4d79-817e-252358607313,2021-11-22T13:32:09.411Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,4a69cc26-bce8-4087-8570-c405c10c0223,2021-11-23T05:28:51.378Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,4c590fb2-d21d-4c35-971a-1f4cb9ea228d,2021-11-22T13:34:01.564Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,4d77f200-bb01-4082-85dd-32ca1e02b5d2,2021-11-22T12:26:13.922Z,1,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,4d83dd9c-63d8-46a1-9faf-5495a203d252,2021-11-22T03:58:50.452Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,4d9c94b9-6246-42bb-ac2e-26f595a2d8db,2021-11-22T12:49:05.605Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,4e3914fc-d8b3-4c09-aca6-827daaa34010,2021-11-22T12:49:05.633Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,4e76169e-748f-4b86-bd89-a63b2e820c72,2021-11-22T13:25:25.701Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,5091731d-99cd-4c59-8d4c-88883bdda70a,2021-11-22T13:06:08.093Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,514d28d4-fcbc-4aa0-8a98-760fdf9f9579,2021-11-22T03:56:09.404Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,516ad838-1360-4b70-a008-b00df42fe2f8,2021-11-22T12:47:54.685Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,53f24ee1-8aa6-469a-87a3-676a0100076b,2021-11-22T17:32:21.715Z,2,Edm.Int32,India,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,54d273fe-e1cb-424e-92f3-5044e5df2731,2021-11-22T12:02:44.623Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,56a99766-1fc3-404a-8942-3349f3a460fa,2021-11-22T13:07:15.069Z,2,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Male,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
India,56c794a0-1cd7-46a6-8a16-8c43011c83c8,2021-11-22T13:27:51.182Z,3,Edm.Int32,Delhi,Edm.String,66-75 years,Edm.String,Female,Edm.String,> $10k,Edm.String,UnInsured,Edm.String,,,,,,,,,,,,,,,,
